s2_kp,s2_ki,s2_0,ok,elapsed,lap_time,final_soc,max_temp,final_s1,final_s2,avg_kw
0.05,0.002,1.0,True,4.884174823760986,1588.6342917101192,0.36845083724216393,41.856324492641285,1.0,15.83617676443915,10.896253555503502
0.05,0.002,3.0,True,4.8706910610198975,1587.2393351112707,0.37950046064084536,40.37166588848633,1.0,14.424141326128625,10.77246747892607
0.05,0.01,1.0,True,5.01640510559082,1641.0663571315727,0.5030726347999548,36.97513086509227,1.0,6.928368591219595,8.580249492089642
0.05,0.01,3.0,True,5.0725929737091064,1629.8545419251866,0.4880432587623759,37.675828155147435,1.0,6.770677115762064,8.888810530287879
0.05,0.05,1.0,True,5.058573961257935,1652.2325428697927,0.5099936338217211,38.95076323705074,1.0,5.460327234122854,8.397609097502887
0.05,0.05,3.0,True,4.989905834197998,1638.1247015640815,0.4931294033361054,39.095030309341425,1.0,5.254493244692155,8.743730640398047
0.2,0.002,1.0,True,4.84565281867981,1586.91879675498,0.3705194388676601,40.97835377980609,1.0,14.36170662343761,10.893095885332592
0.2,0.002,3.0,True,4.967569828033447,1587.1836272427095,0.3827064901251981,39.89421368642982,1.0,13.430045149269452,10.731710445260225
0.2,0.01,1.0,True,4.872713327407837,1636.0538832262637,0.4950059068502574,37.40229508894911,1.0,6.758234833571416,8.735209672719211
0.2,0.01,3.0,True,4.893636226654053,1626.938758616044,0.4829252446865106,37.95785506340992,1.0,6.8283786968098035,8.985001742094196
0.2,0.05,1.0,True,4.8321309089660645,1648.03559156138,0.5041262647334442,38.92334544756728,1.0,5.459313629361382,8.51198428071186
0.2,0.05,3.0,True,4.986119270324707,1635.6576673289053,0.48954453073007315,39.23824295299721,1.0,5.5950717066532185,8.815221737078215
1.0,0.002,1.0,True,5.073012828826904,1585.926274408252,0.3815109771893362,40.599804013898414,1.0,10.960869735297406,10.763147800542406
1.0,0.002,3.0,True,4.919532775878906,1588.9187283515323,0.39470384255395663,40.36004364007913,1.0,10.817218988229705,10.555731263501187
1.0,0.01,1.0,True,5.017967224121094,1620.867851539355,0.46977508531090967,38.64286026767646,1.0,7.447215049545329,9.21972951166744
1.0,0.01,3.0,True,4.862942218780518,1616.991884256033,0.46584657019433295,38.86523401774267,1.0,7.653418797797865,9.30978822041582
1.0,0.05,1.0,True,4.791889429092407,1634.7348751543134,0.4861920721781294,39.54875648589301,1.0,6.894240355695319,8.873455199114755
1.0,0.05,3.0,True,4.859713792800903,1627.5402839482742,0.4780452341685546,39.6625925398927,1.0,7.185912285813753,9.047912159266208
