k,s1_max,s1_kp,s1_ki,s1_0,ok,elapsed,lap_time,final_soc,max_temp,final_s1,final_s2,avg_kw
200.0,30.34350816111963,30.0,2.0,1.0,True,4.71629786491394,1540.4077538910312,0.0343504907964034,64.66031359851158,4.906975007952696,1.0,15.407300653583656
200.0,30.34350816111963,30.0,2.0,3.0,True,4.956672430038452,1541.1418904455443,0.03447200778247667,64.22322176114477,3.561334794426913,1.0,15.292445556529543
200.0,30.34350816111963,60.0,0.5,1.0,True,4.770895004272461,1537.3459043888029,0.023576243936767344,64.89947800983293,8.847703342816079,1.0,15.570289721486215
200.0,30.34350816111963,60.0,0.5,3.0,True,4.800027370452881,1536.466033819862,0.024400036620836493,65.47113762840902,7.693542846466108,1.0,15.42547447878734
200.0,30.34350816111963,60.0,2.0,1.0,True,4.837733268737793,1539.9110156917206,0.03392530848103547,64.50428203962656,3.369375283460295,1.0,15.41181161391641
200.0,30.34350816111963,60.0,2.0,3.0,True,4.980990648269653,1540.679761809658,0.03402094372514234,64.22767839293971,3.0,1.0,15.306416922305736
300.0,45.515262241679444,10.0,0.5,1.0,True,4.795197010040283,1536.2489894444398,0.01278117834766868,65.76277493216668,19.962909515646892,1.0,15.720631221533859
300.0,45.515262241679444,10.0,0.5,3.0,True,4.762000560760498,1535.2252079711723,0.016162643135276294,66.01246236818739,16.741841520709478,1.0,15.655040647415555
300.0,45.515262241679444,10.0,2.0,1.0,True,4.750108242034912,1537.9943923337441,0.031848647273979055,64.72436424716285,10.280049241701638,1.0,15.492378650216555
300.0,45.515262241679444,10.0,2.0,3.0,True,4.725846529006958,1539.628976905902,0.03235474782843946,64.68238709426129,12.066886274772033,1.0,15.422678659884875
300.0,45.515262241679444,30.0,0.5,1.0,True,4.813554048538208,1536.0311320942185,0.014177807742049376,65.58979896164539,18.09079791552958,1.0,15.701459248484921
300.0,45.515262241679444,30.0,0.5,3.0,True,4.815547227859497,1535.0952329263816,0.017210161152793595,65.84021999930007,15.278566054991066,1.0,15.640190008333642
300.0,45.515262241679444,30.0,2.0,1.0,True,4.836719036102295,1538.0675429663756,0.031778207300661034,64.70129323748151,9.879575760876973,1.0,15.49141213394999
300.0,45.515262241679444,30.0,2.0,3.0,True,4.808302402496338,1539.5261578513998,0.032242025327185085,64.6628880590957,11.252937834017404,1.0,15.42267662479159
300.0,45.515262241679444,60.0,0.5,1.0,True,4.739606142044067,1535.604918842228,0.015858260195260102,65.40029567349474,15.560833800287398,1.0,15.688995085123977
300.0,45.515262241679444,60.0,0.5,3.0,True,4.7800469398498535,1534.84191881501,0.018537536938884352,65.66505968743616,13.240359730634365,1.0,15.628755199835398
300.0,45.515262241679444,60.0,2.0,1.0,True,4.739501237869263,1538.1111603812935,0.03166192878931119,64.66321106669962,9.045894019920441,1.0,15.489298479711787
300.0,45.515262241679444,60.0,2.0,3.0,True,4.7740318775177,1539.3736579546644,0.03207462061712786,64.6265193031233,10.022245092965889,1.0,15.422475061770042
