pack_combo,mass,series,parallel,mass_kg,batt_mass,accel_time,skidpad_time,endur_time,energy_wh,final_soc,pack_energy_kwh,final_energy_kwh,total_points,score_breakdown
[100   2],275,100,2,275,14.399999999999999,3.8508227503561585,4.586949823898507,1691.82364726554,3206.622485817742,0.005340491779557973,3.6,3.2321290615355367,417.4547620156188,"ScoreBreakdown(accel=97.7811967647046, skidpad=75.0, autocross=27.01779772841347, endurance=121.73439046761078, efficiency=95.92137705488994)"
[100   2],280,100,2,280,14.399999999999999,3.8782795667071923,4.628315144971793,1698.9409249247549,3212.0501673539075,0.0033146006351546164,3.6,3.237671930059541,410.5768900652687,"ScoreBreakdown(accel=95.76858873133177, skidpad=75.0, autocross=25.82867615037033, endurance=119.00178888502975, efficiency=94.97783629853681)"
[100   2],285,100,2,285,14.399999999999999,3.906724326227902,4.669313121469187,1702.6131292463567,3215.5852981943785,0.002115955333486789,3.6,3.2407904545521062,405.99131306229884,"ScoreBreakdown(accel=93.71339838354871, skidpad=75.0, autocross=25.21902934632024, endurance=117.60082042871407, efficiency=94.45806490371582)"
[100   2],290,100,2,290,14.399999999999999,3.935079819301123,4.579187861615182,1715.2166292247389,3220.8333411193876,0.0,3.6,3.2460187889670236,395.7094141409001,"ScoreBreakdown(accel=91.69422991893049, skidpad=75.0, autocross=23.14649408379634, endurance=112.83813405340871, efficiency=93.03055608476457)"
[100   2],295,100,2,295,14.399999999999999,3.9633417441227863,4.61836203910029,1709.1743222699627,3220.918897067624,0.0,3.6,3.2458691321971163,397.5436206770539,"ScoreBreakdown(accel=89.7104735538761, skidpad=75.0, autocross=24.13628432131451, endurance=115.1126721825681, efficiency=93.5841906192952)"
[100   2],300,100,2,300,14.399999999999999,3.9915058253446176,4.65720733660217,1716.8612578244097,3220.7871598343463,0.0,3.6,3.2455382657997216,390.74329467959416,"ScoreBreakdown(accel=87.76153133710751, skidpad=75.0, autocross=22.878293709769334, endurance=112.22180954963393, efficiency=92.88166008308336)"
[104   2],200,104,2,200,14.975999999999999,3.6263688434969197,4.496213348185748,1614.8303850041698,3223.849179407116,0.046260778953813995,3.744,3.254510078557545,471.06945842482696,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=40.55149438161786, endurance=152.834827610108, efficiency=102.68313643310111)"
[104   2],205,104,2,205,14.975999999999999,3.6441452916822072,4.376067036852291,1622.477113455249,3231.9088821632654,0.04307531114635818,3.744,3.262416142283435,465.2422760913981,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=39.1499208221829, endurance=149.6140113392281, efficiency=101.47834392998703)"
[104   2],210,104,2,210,14.975999999999999,3.6511095024580413,4.4288669578696584,1616.382149919782,3234.303959513407,0.0423712529517334,3.744,3.264283736931821,469.42638746923336,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=40.26599794619487, endurance=152.17875675439115, efficiency=101.98163276864734)"
[104   2],215,104,2,215,14.975999999999999,3.637075262504169,4.481046804910079,1624.055226710165,3240.0396271900413,0.04019444840346814,3.744,3.2701096014439153,463.71542228232835,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=38.86231046944741, endurance=148.95308270117837, efficiency=100.90002911170258)"
[104   2],220,104,2,220,14.975999999999999,3.6619219016776015,4.532621511412529,1633.2092524751433,3249.4631233517634,0.03709372520169395,3.744,3.2794976470651775,456.84319241474645,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=37.204956680972195, endurance=145.14448342175308, efficiency=99.49375231202114)"
[104   2],225,104,2,225,14.975999999999999,3.6815379399303936,4.422192708426152,1640.3031529562354,3258.837889553563,0.03350643241532964,3.744,3.288633502677135,451.4684583477812,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=35.933314690141, endurance=142.22224991696692, efficiency=98.31289374067332)"
[104   2],230,104,2,230,14.975999999999999,3.692103880388501,4.470852429020283,1634.6759746296916,3261.3796538090105,0.03289289066451143,3.744,3.290220712245973,455.2260734784161,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=36.94112918185749, endurance=144.53820778524866, efficiency=98.74673651130993)"
