pack_combo,mass,series,parallel,mass_kg,batt_mass,accel_time,skidpad_time,endur_time,energy_wh,final_soc,pack_energy_kwh,final_energy_kwh,total_points,score_breakdown
[112   2],250,112,2,250,16.128,3.736347465548562,4.533349610791845,1684.3565751611316,3535.911113467178,0.007702236783222319,4.032,3.5718219109578446,409.5054670615994,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=28.276163619467873, endurance=124.62611549291888, efficiency=81.60318794921268)"
[112   2],255,112,2,255,16.128,3.753710765628057,4.543751833798964,1694.2536534397775,3527.664260497847,0.010306138028768935,4.032,3.563667781254078,403.49786202957085,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=26.610680411803877, endurance=120.79883480685639, efficiency=81.0883468109106)"
[112   2],260,112,2,260,16.128,3.7731330596000134,4.554205599096264,1704.7104251180494,3520.791473452163,0.012647704909579808,4.032,3.556155699850563,397.1520638390127,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=24.872021873887945, endurance=116.8033971997988, efficiency=80.47664476532603)"
[112   2],265,112,2,265,16.128,3.7952596185436107,4.564290460655897,1714.214301394684,3514.7404876942237,0.014725953809059424,4.032,3.549475308046076,391.4446043905091,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=23.3102026543326, endurance=113.21433637551736, efficiency=79.92006536065912)"
[112   2],270,112,2,270,16.128,3.821174457418792,4.5740298978115845,1721.7567534122804,3510.025463371159,0.016375510842381053,4.032,3.5438613229244535,386.9438496938534,"ScoreBreakdown(accel=99.98691971511879, skidpad=75.0, autocross=22.082985642382965, endurance=110.39419147953248, efficiency=79.47975285681912)"
[112   2],275,112,2,275,16.128,3.849749874109179,4.583512153122953,1730.0696730736868,3503.9422267750574,0.018397083606323767,4.032,3.53735092121443,379.9535626647047,"ScoreBreakdown(accel=97.86042231271307, skidpad=75.0, autocross=20.74280322777476, endurance=107.31445206959572, efficiency=79.0358850546211)"
[112   2],280,112,2,280,16.128,3.8782795667071923,4.593257496777142,1738.2234184774527,3497.3681462082623,0.020659635394806614,4.032,3.530263484170311,373.1619987986311,"ScoreBreakdown(accel=95.76858873133177, skidpad=75.0, autocross=19.44073519462014, endurance=104.32229951452918, efficiency=78.63037535815002)"
[112   2],285,112,2,285,16.128,3.906724326227902,4.602689228761392,1745.7194818537475,3490.833669581154,0.022828588630473972,4.032,3.5234589023308938,366.8458856321688,"ScoreBreakdown(accel=93.71339838354871, skidpad=75.0, autocross=18.254423219277314, endurance=101.59615439941722, efficiency=78.28190962992556)"
[112   2],290,112,2,290,16.128,3.935079819301123,4.6118214268334015,1753.9200603065299,3483.8073373309085,0.025230673964247677,4.032,3.516006177774558,360.20318499315044,"ScoreBreakdown(accel=91.69422991893049, skidpad=75.0, autocross=16.96823077524125, endurance=98.64048395076503, efficiency=77.90024034821369)"
[112   2],295,112,2,295,16.128,3.9633417441227863,4.620667299055384,1762.4830367662212,3476.8601265658194,0.027585520973829967,4.032,3.5088284168994637,353.4227831682958,"ScoreBreakdown(accel=89.7104735538761, skidpad=75.0, autocross=15.637973235633861, endurance=95.58355190521806, efficiency=77.49078447356777)"
[112   2],300,112,2,300,16.128,3.9915058253446176,4.62980857849513,1770.8888638273218,3469.7494137123213,0.03005160561940787,4.032,3.5012461138589837,346.8233396551361,"ScoreBreakdown(accel=87.76153133710751, skidpad=75.0, autocross=14.344641548414973, endurance=92.6114754745537, efficiency=77.10569129505997)"
[116   2],200,116,2,200,16.703999999999997,3.6253038322989397,4.411893476136811,1797.248383128278,3690.5747498777414,0.0,4.176,3.7317739123085962,335.49975110056516,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=10.367383240663644, endurance=83.47173522698355, efficiency=66.66063263291798)"
[116   2],205,116,2,205,16.703999999999997,3.63304424605127,4.42563881461237,1794.2883924820992,3690.262087301986,0.0,4.176,3.7311576256606696,337.1814523440268,"ScoreBreakdown(accel=100.0, skidpad=75.0, autocross=10.808177276352195, endurance=84.48467999373912, efficiency=66.88859507393552)"
