k,s1_max,s1_kp,s1_ki,s1_0,ok,elapsed,lap_time,final_soc,max_temp,final_s1,final_s2,avg_kw
150.0,25.801544582260707,10.0,0.5,1.0,True,3.1749298572540283,1688.243308425836,0.0791698580671859,48.04241687808047,8.207536162841757,1.0,10.36255444451638
150.0,25.801544582260707,10.0,0.5,3.0,True,3.1629414558410645,1680.823843745123,0.07509663645962937,47.76606545824618,11.702136821963219,1.0,10.468680622756565
150.0,25.801544582260707,10.0,2.0,1.0,True,3.1422786712646484,1693.8132819777575,0.08450860495674906,47.98039180907371,1.299608460043452,1.0,10.277411841969219
150.0,25.801544582260707,10.0,2.0,3.0,True,3.146477460861206,1683.9260653544623,0.0827714328736262,47.54175533932372,5.200623005752917,1.0,10.375907320075584
150.0,25.801544582260707,30.0,0.5,1.0,True,3.157021999359131,1683.2209833287968,0.07421815058941514,48.025790805367976,10.716123888335156,1.0,10.4424949193906
150.0,25.801544582260707,30.0,0.5,3.0,True,3.169286012649536,1679.7244517436197,0.07183334168795037,47.81532002377005,12.864181841398612,1.0,10.505206010684615
150.0,25.801544582260707,30.0,2.0,1.0,True,3.1854963302612305,1686.6480849486695,0.08212287734724687,47.81229512856357,4.691194036960857,1.0,10.355136026013843
150.0,25.801544582260707,30.0,2.0,3.0,True,3.182483673095703,1682.4844605606631,0.0811039257471682,47.501434983150446,7.062972205537775,1.0,10.405452532477556
150.0,25.801544582260707,60.0,0.5,1.0,True,3.182156562805176,1681.1779488242876,0.07105497962189788,47.97736439044108,12.222530626940099,1.0,10.489599318307503
150.0,25.801544582260707,60.0,0.5,3.0,True,3.1569108963012695,1679.0069228651598,0.06960655997135848,47.83786696772617,13.269906814614327,1.0,10.528601210251791
150.0,25.801544582260707,60.0,2.0,1.0,True,3.1859452724456787,1683.8064760696573,0.08017508897298936,47.678624575334396,7.016672163335901,1.0,10.399674266223244
150.0,25.801544582260707,60.0,2.0,3.0,True,3.177039384841919,1681.8042974119046,0.07962702624581576,47.46776658341058,8.138884029284519,1.0,10.425006186135104
200.0,34.402059443014274,10.0,0.5,1.0,True,3.1906771659851074,1702.4719783917399,0.09645645992896221,47.641506529607724,13.981079621821221,1.0,10.124693055878573
200.0,34.402059443014274,10.0,0.5,3.0,True,3.174083709716797,1689.8410444833223,0.08708740033282424,47.580589343536076,17.267974626136006,1.0,10.293827792790488
200.0,34.402059443014274,10.0,2.0,1.0,True,3.1593315601348877,1717.6188261682396,0.09852410888311484,48.04499278166566,15.740868264041074,1.0,10.00844062428577
200.0,34.402059443014274,10.0,2.0,3.0,True,3.168058395385742,1699.041717662743,0.09220398635816192,47.70072018038375,17.625591452020636,1.0,10.192678432984506
200.0,34.402059443014274,30.0,0.5,1.0,True,3.1842567920684814,1691.6363853064959,0.08591519110283137,47.78137206865118,15.893820690787484,1.0,10.290364344410568
200.0,34.402059443014274,30.0,0.5,3.0,True,3.1872777938842773,1685.2506580404333,0.07902139652557713,47.752727071554304,18.138397300459957,1.0,10.40080709658464
200.0,34.402059443014274,30.0,2.0,1.0,True,3.204500198364258,1700.9932131795254,0.09118151418326684,47.92441661191296,16.442956092866936,1.0,10.17955120160117
200.0,34.402059443014274,30.0,2.0,3.0,True,3.198336362838745,1691.8588444371226,0.08715400908068204,47.66979914791874,17.534308660238196,1.0,10.289366483793664
200.0,34.402059443014274,60.0,0.5,1.0,True,3.1695806980133057,1685.4727009693445,0.07605858820599706,47.95108085032887,17.302142417323576,1.0,10.415888237293444
200.0,34.402059443014274,60.0,0.5,3.0,True,3.1914124488830566,1681.8276460065254,0.0721576977506882,47.8916467300226,18.50227536527201,1.0,10.485015942946807
200.0,34.402059443014274,60.0,2.0,1.0,True,3.1786673069000244,1691.0277674253964,0.08456405103371106,47.83026671476491,16.504731207701315,1.0,10.311713997141467
200.0,34.402059443014274,60.0,2.0,3.0,True,3.188368082046509,1686.9926894665218,0.08255019150573933,47.63292041230903,16.804672756229312,1.0,10.362959382400351
300.0,51.603089164521414,10.0,0.5,1.0,True,3.18255615234375,1719.3840922567026,0.09937432171088643,48.06153185371218,38.5567778015806,1.0,9.9847866075329
300.0,51.603089164521414,10.0,0.5,3.0,True,3.185353994369507,1702.859010390627,0.08690992473926512,48.15548552894897,38.874565924916936,1.0,10.18443514023805
300.0,51.603089164521414,10.0,2.0,1.0,True,3.176286458969116,1697.011890667417,0.06078063702216695,49.61256060461198,48.78079030233633,1.0,10.450610323119843
300.0,51.603089164521414,10.0,2.0,3.0,True,3.180743932723999,1688.962927211004,0.06287515099523064,49.10737623734673,45.813606786749425,1.0,10.490595888059213
300.0,51.603089164521414,30.0,0.5,1.0,True,3.185797929763794,1703.2331133094203,0.08669636513259663,48.22003401453852,36.65640868984358,1.0,10.192507604540065
300.0,51.603089164521414,30.0,0.5,3.0,True,3.2411179542541504,1693.6374277624345,0.07781773387564023,48.2661804839967,36.83070464768242,1.0,10.324830532952191
300.0,51.603089164521414,30.0,2.0,1.0,True,3.1926257610321045,1691.8951848751615,0.06333913707552632,49.22433241379498,44.791151503272495,1.0,10.470295778897652
300.0,51.603089164521414,30.0,2.0,3.0,True,3.1984004974365234,1686.5062239558188,0.06489924611635814,48.816731606510956,42.24330624765212,1.0,10.494264942249535
300.0,51.603089164521414,60.0,0.5,1.0,True,3.1937944889068604,1691.7791797509208,0.07473551383173704,48.35928631516008,34.35254925068102,1.0,10.374220002736669
300.0,51.603089164521414,60.0,0.5,3.0,True,3.209313154220581,1686.6168732582626,0.06927164741518879,48.35550587761516,34.440795000510796,1.0,10.452433046347537
300.0,51.603089164521414,60.0,2.0,1.0,True,3.196063995361328,1687.140670591355,0.0658519406053897,48.795478405535924,39.519364650948084,1.0,10.490935996355564
300.0,51.603089164521414,60.0,2.0,3.0,True,3.2059531211853027,1684.145562581461,0.0671301131229077,48.49115038993116,37.65233778388145,1.0,10.50077807046238
