A,tau1,B,tau2,V_inf,R0,R1,C1,R2,C2,rmse_mV,tau_separation,rc2_fraction,n_points,duration_s,V_relax0,SOC,OCV,OCV slope
0.011373042377149818,2.7897729054870606,0.02440667477367516,17.379992062504545,4.129179699999998,0.0022493961970502926,0.00043742470681345456,6377.721381606356,0.0009387182605259676,18514.598888026812,0.27123926304437124,6.229894923820048,0.6821371636559292,10784,65.97776818275452,4.091466,1.0,4.15434,0.7840300000000067
0.010493161845124091,3.00722517630512,0.028470893182380528,22.288781324178718,4.0734830666666655,0.0021506432103222117,0.00040358314788938813,7451.315031442601,0.0010950343531684818,20354.41286356554,0.34579536726685517,7.41174339048472,0.7306963600755363,11164,78.27683568000793,4.032737,0.9,4.075937,0.7162000000000024
0.009342388007428185,2.8961416613265123,0.02512477956087984,20.549570188943328,3.9981174999999993,0.0020826618957354714,0.0003593226156703148,8060.003837842972,0.0009663376754184554,21265.41343846984,0.345823980959232,7.095498974843331,0.7289481942804504,11348,69.49748086929321,3.962551,0.8,4.0111,0.958994999999998
0.008265659140952113,2.893263560244921,0.022359171775986744,19.42943692215143,3.8764662000000008,0.0021457436138856935,0.0003179099669596966,9100.889751631214,0.0008599681452302594,22593.205376170223,0.2803456214501778,6.715405118677363,0.7300994358672425,9608,66.73758220672607,3.844122,0.7,3.884138,1.05302
0.008745328994523717,2.8895223186231,0.022623389459132188,20.933240144411577,3.7905172333333326,0.002156543318738696,0.00033635880748168143,8590.59508581611,0.0008701303638127764,24057.590695588835,0.31678820429536964,7.24453312213438,0.721208598067401,9865,69.38526487350464,3.75771,0.6,3.800496,1.125115000000001
0.007682394614361444,2.4890214238635675,0.019467995764022646,16.123771582349626,3.6446262666666653,0.0020913107740725754,0.0002954767159369786,8423.748097953152,0.0007487690678470248,21533.704148211087,0.24575638656782434,6.477956126758285,0.717042940919265,9765,59.567821979522705,3.616229,0.5,3.659115,1.4372349999999989
0.011890867841909203,3.2241693060764995,0.04078209256832079,36.003344015521705,3.4983574666666666,0.0020509029681141824,0.00045734107084266165,7049.813610957555,0.001568542021858492,22953.38187552223,0.7215119219987114,11.166703915848101,0.7742510056526121,17300,108.00550723075867,3.444488,0.4,3.513049,1.4962699999999995
0.017987979548000466,4.416329715140778,0.058931092224081445,47.15357367616572,3.341222733333333,0.0021448114028009236,0.0006918453672307872,6383.405778689806,0.0022665804701569787,20803.838335772813,0.6878834816393092,10.677095397679704,0.7661440897089807,19642,119.89331674575806,3.261676,0.3,3.359861,1.593835000000001
0.03420334586240369,6.59766162830124,0.08933992728354814,52.62734414990964,3.1755078,0.0023810260242243145,0.001315513302400142,5015.275494564644,0.003436151049367236,15315.783093877935,0.42169361943595635,7.9766661454961705,0.7231468376105231,19573,119.89554905891418,3.046089,0.2,3.194282,1.8475550000000007
0.10526019410852351,7.0,0.10954542616168177,51.030072600294076,2.9642954333333336,0.0035039885456336585,0.004048469004173981,1729.0486830411653,0.004213285621603145,12111.705016779106,1.090370692146166,7.290010371470582,0.5099746739581763,17200,119.89518117904663,2.731704,0.1,2.99035,2.03932
