SOC,pulse_label,I_pulse_A,R0_mohm,OCV_V,R1_mohm,C1_F,R2_mohm,C2_F,tau1_s,tau2_s,rmse_mV,rc2_fraction,fit_ok
100,single,30.0,10.496566666666657,4.14992,2.1527274259288642,2376.2695482089503,1.4578437030785114,20299.39794470459,5.115460627828999,29.593349469972463,0.7901557419564275,0.4037709412137531,True
90,single,30.0,9.699383333333333,4.0786625,2.3301206505002185,2525.08092840163,1.496642555381722,29119.361533368487,5.883743215452902,43.58127565638483,0.7897837177063385,0.3910988150720437,True
80,single,30.0,9.3032,4.013553,2.2927498915242253,2723.682554770426,1.1111082692761307,34235.04486508789,6.244722881996319,38.03884144863849,0.6650897363868643,0.3264261366915693,True
70,single,30.0,9.456633333333347,3.884469,1.9966366775954867,2948.0749789506835,1.1929660765955976,29814.631507098748,5.886234631274477,35.56784397416708,0.6234483293831632,0.37401713270659187,True
60,single,30.0,9.498266666666666,3.801798,2.0571625839221266,2768.424779341806,1.2239594762739536,32028.39477405997,5.695099872464833,39.20145729355387,0.6583018984536363,0.3730307662497656,True
50,single,30.0,9.313333333333329,3.654309,2.1033784093514245,2601.1813449763536,0.9735930009027237,29892.98050581656,5.4712686798309615,29.103596596584563,0.5862177018545838,0.3164127549765917,True
40,single,30.0,9.21803333333333,3.514561,2.7940854162549797,2209.034758568102,2.3044553363153732,21399.83912703316,6.172231802915474,49.31497347258208,0.8747672637654584,0.4519833121180048,True
30,single,30.0,9.699249999999996,3.3627545,3.8975226857589096,1679.1050825446105,3.1098394910510088,17245.844040744025,6.544350150990706,53.631806854412474,1.2946028129655163,0.4437960266050861,True
20,single,30.0,10.46236666666666,3.197593,,,,,,,,,
