time_ms,input_voltage,input_current,input_temperature,soc_percent,voltage_ocv,r0,capacity_ah,soh_percent,v_ct,v_dif,uncertainty,valid,bypassed
40000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00022146,1,0
41000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00019540,1,0
42000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00017240,1,0
43000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00015211,1,0
44000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00013421,1,0
45000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00011841,1,0
46000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00010447,1,0
47000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00009218,1,0
48000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00008133,1,0
49000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00007176,1,0
50000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00006331,1,0
51000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00005586,1,0
52000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00004929,1,0
53000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00004348,1,0
54000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00003837,1,0
55000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00003385,1,0
56000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00002987,1,0
57000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00002635,1,0
58000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00002325,1,0
59000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00002051,1,0
60000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00001810,1,0
61000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00001597,1,0
62000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00001409,1,0
63000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00001243,1,0
64000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00001097,1,0
65000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000968,1,0
66000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000854,1,0
67000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000753,1,0
68000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000665,1,0
69000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000586,1,0
70000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000517,1,0
71000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000457,1,0
72000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000403,1,0
73000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000355,1,0
74000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000314,1,0
75000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000277,1,0
76000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000244,1,0
77000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000215,1,0
78000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000190,1,0
79000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000168,1,0
80000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000148,1,0
81000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000131,1,0
82000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000115,1,0
83000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000102,1,0
84000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000090,1,0
85000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000079,1,0
86000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000070,1,0
87000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000062,1,0
88000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000054,1,0
89000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000048,1,0
90000.000,4.110000,0.000000,22.500,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000042,1,0
91000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000037,1,0
92000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000033,1,0
93000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000029,1,0
94000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000026,1,0
95000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000023,1,0
96000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000020,1,0
97000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000018,1,0
98000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000016,1,0
99000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000014,1,0
100000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000012,1,0
101000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000011,1,0
102000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000009,1,0
103000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000008,1,0
104000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000007,1,0
105000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000006,1,0
106000.000,0.000000,0.000000,0.000,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.02995548,1,1
107000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000005,1,0
108000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000004,1,0
109000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000004,1,0
110000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000003,1,0
111000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000003,1,0
112000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000003,1,0
113000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000002,1,0
114000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000002,1,0
115000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000002,1,0
116000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000002,1,0
117000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000001,1,0
118000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000001,1,0
119000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000001,1,0
120000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000001,1,0
121000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000001,1,0
122000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000001,1,0
123000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000001,1,0
124000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000001,1,0
125000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000001,1,0
126000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
127000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
128000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
129000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
130000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
131000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
132000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
133000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
134000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
135000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
136000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
137000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
138000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
139000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
140000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
141000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
142000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
143000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
144000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
145000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
146000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
147000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
148000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
149000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
150000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
151000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
152000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
153000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
154000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
155000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
156000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
157000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
158000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
159000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
160000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
161000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
162000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
163000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
164000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
165000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
166000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
167000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
168000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
169000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
170000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
171000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
172000.000,4.110000,0.000000,22.750,95.422295,4.110000,0.00500000,12.000000,88.954422,0.00000000,0.00000000,0.00000000,1,0
